cat,month,n,no,ng,S_all,recon,resid,SA,SB,D,pi
cs.DB,2024-12,50,38,12,1.1812815560412684,1.1812815560412686,-2.220446049250313e-16,1.2018777636534335,0.9959920625962502,1.1763472854623636,0.24
cs.DB,2025-01,50,40,10,1.1687888952807182,1.1687888952807182,0.0,1.1701671373427303,1.0122999285345105,1.1837063320187433,0.2
cs.DB,2025-02,50,38,12,1.1416297669690898,1.1416297669690902,-4.440892098500626e-16,1.164208198664478,0.9771189390541118,1.1306321291632369,0.24
cs.DB,2025-03,50,40,10,1.1784407667884889,1.1784407667884886,2.220446049250313e-16,1.194437344364313,1.0614785461342384,1.1604056903392346,0.2
cs.DB,2025-05,50,33,17,1.1419553900524175,1.1419553900524178,-2.220446049250313e-16,1.1532980235330266,1.0399686162403992,1.1560040366846336,0.34
cs.DB,2025-06,50,37,13,1.1524807791563476,1.1524807791563476,0.0,1.1553627887206532,1.1051295092668532,1.156168888681406,0.26
cs.DB,2025-07,50,37,13,1.1389392608505704,1.1389392608505702,2.220446049250313e-16,1.1527621034679716,1.0272404309772614,1.1379132640666385,0.26
cs.DB,2025-08,50,39,11,1.1563066006369307,1.1563066006369307,0.0,1.1643432020029865,1.0827379867659226,1.1518570718505858,0.22
cs.DB,2025-09,50,39,11,1.1691268301276392,1.169126830127639,2.220446049250313e-16,1.177411262053866,1.1085929944517734,1.162578104964092,0.22
cs.DB,2025-10,50,37,13,1.1251869750335637,1.1251869750335637,0.0,1.1279814960007386,1.0612408542202272,1.1316872795227566,0.26
cs.DB,2025-11,50,37,13,1.141333244695332,1.141333244695332,0.0,1.1624750589590915,0.9726575539532354,1.1394127781219838,0.26
cs.DB,2025-12,50,36,14,1.1572837173128618,1.1572837173128616,2.220446049250313e-16,1.1743521420976686,1.0788205763336136,1.1501151423419953,0.28
cs.DC,2025-04,50,40,10,1.1609183329002888,1.1609183329002888,0.0,1.18584222878312,0.9842444174077288,1.1321925514216806,0.2
cs.DC,2025-05,50,38,12,1.1427693050801293,1.1427693050801293,0.0,1.161583365278183,1.0130802701198047,1.1325350769839662,0.24
cs.DC,2025-06,50,40,10,1.1699108418380895,1.1699108418380892,2.220446049250313e-16,1.1955001966601524,0.9690903507869965,1.1426039051783143,0.2
cs.DC,2025-08,50,39,11,1.168979530327311,1.168979530327311,0.0,1.1872511181646634,1.0423622062614115,1.1536525052367426,0.22
cs.DC,2025-09,50,33,17,1.191972801228091,1.191972801228091,0.0,1.2178198344438327,1.1007181608145904,1.189768518800862,0.34
cs.DC,2025-11,50,39,11,1.1744791617621206,1.1744791617621206,0.0,1.1981965187527173,1.002034878245731,1.1556210593457323,0.22
cs.DC,2025-12,50,34,16,1.1294214993117662,1.1294214993117662,0.0,1.1641719136100608,1.0044000838611757,1.1211633879748686,0.32
cs.DL,2024-11,32,22,10,1.1566427931117966,1.1566427931117966,0.0,1.1572018228473568,1.0962898486539987,1.1684007323467354,0.3125
cs.DL,2025-08,44,31,13,1.1620697071937354,1.1620697071937354,0.0,1.1617544332313618,1.1302798743651816,1.1685863557126708,0.29545454545454547
cs.HC,2023-07,50,40,10,1.2485954906979555,1.2485954906979555,0.0,1.2540872637435323,1.143599390756705,1.2496985945024717,0.2
cs.HC,2023-09,50,38,12,1.2364806798929477,1.236480679892948,-2.220446049250313e-16,1.2547531875248035,1.124028758617979,1.2245864999345126,0.24
cs.HC,2023-11,50,40,10,1.2456040256971868,1.2456040256971865,2.220446049250313e-16,1.2526426735209468,1.1387357777570735,1.243901340334117,0.2
cs.HC,2023-12,50,36,14,1.2338084479302522,1.2338084479302522,0.0,1.2504888605758735,1.1269315845302956,1.2322551435704405,0.28
cs.HC,2024-01,50,40,10,1.2454188695717376,1.2454188695717379,-2.220446049250313e-16,1.2562336281879927,1.1509028770957552,1.2349631394235892,0.2
cs.HC,2024-02,50,39,11,1.2241699265891237,1.224169926589124,-2.220446049250313e-16,1.2350302411741625,1.1232260927656161,1.2183527185536445,0.22
cs.HC,2024-03,50,37,13,1.2359211895776883,1.2359211895776883,0.0,1.2428672698573937,1.1653260059833763,1.237751407569523,0.26
cs.HC,2024-05,50,35,15,1.2277749782967475,1.2277749782967478,-2.220446049250313e-16,1.242913322686698,1.1509133694480322,1.2259905097578805,0.3
cs.HC,2024-06,50,38,12,1.24950146436444,1.24950146436444,0.0,1.2499423092648587,1.1934817404082558,1.256929946417321,0.24
cs.HC,2024-07,50,39,11,1.2485988435060067,1.248598843506007,-2.220446049250313e-16,1.2608014678252204,1.1324075692967899,1.2424179005245846,0.22
cs.HC,2024-08,50,35,15,1.2378893334354673,1.2378893334354673,0.0,1.2555913769424922,1.1448426832013645,1.2364363475076594,0.3
cs.HC,2024-09,50,38,12,1.2301506404805194,1.2301506404805194,0.0,1.2432015569148323,1.1041290820949619,1.2282704400421969,0.24
cs.HC,2024-10,50,34,16,1.2222469841837436,1.2222469841837436,0.0,1.2422125196112377,1.1100714523650055,1.2264021283812148,0.32
cs.HC,2024-11,50,38,12,1.2452270710015587,1.2452270710015585,2.220446049250313e-16,1.252199255699676,1.1294124819841418,1.251240924142727,0.24
cs.HC,2024-12,50,35,15,1.23182294102809,1.23182294102809,0.0,1.2413726698224707,1.167546655584227,1.2338551721498978,0.3
cs.HC,2025-01,50,38,12,1.2349816094573034,1.2349816094573034,0.0,1.2449619594794423,1.1259542182273974,1.2353755168160971,0.24
cs.HC,2025-02,50,30,20,1.1978102341315848,1.1978102341315848,0.0,1.2053900553810872,1.1415398598934856,1.2101338155677603,0.4
cs.HC,2025-03,50,34,16,1.2137896791883027,1.2137896791883027,0.0,1.2248618657177262,1.1312120715117548,1.2205871355820141,0.32
cs.HC,2025-04,50,25,25,1.1898273469396878,1.1898273469396878,0.0,1.2453771743599498,1.1040303281980808,1.2043459987739336,0.5
cs.HC,2025-05,50,32,18,1.2123258679839017,1.212325867983902,-2.220446049250313e-16,1.2296116471967058,1.1449726908207951,1.215331579123493,0.36
cs.HC,2025-06,50,40,10,1.2134020354907664,1.2134020354907662,2.220446049250313e-16,1.2165906472006693,1.1344547443119024,1.2160658129140776,0.2
cs.HC,2025-07,50,36,14,1.2098555788807532,1.2098555788807532,0.0,1.2152444582592117,1.1621543486736612,1.2117322017784051,0.28
cs.HC,2025-08,50,33,17,1.1814786493869338,1.1814786493869338,0.0,1.2109954443246993,1.0710241570038208,1.1804749831426615,0.34
cs.HC,2025-09,50,32,18,1.1954273693561417,1.1954273693561417,0.0,1.2076893150978445,1.1351438070381674,1.2008812928748318,0.36
cs.HC,2025-10,50,28,22,1.1871606126352834,1.1871606126352836,-2.220446049250313e-16,1.2160417960376069,1.1255454250325576,1.1925437636257892,0.44
