primary_category,macro_field,rows,pre_rows,post_rows,observed_genai_marker_share,arxiv_macro_field,n_respondents,mean_frequency_score,share_any_use,share_weekly_or_daily,share_use_research,share_use_code,share_use_manuscripts,share_use_review,share_use_literature,share_use_scientific_search,share_use_brainstorm,nature_frequency_z,nature_any_use_z,nature_weekly_z,nature_research_writing_raw,nature_research_writing_z,n_pre_papers,text_writing_share,code_computation_share,ai_ml_method_share,literature_synthesis_share,pre_task_supported,text_writing_z,code_computation_z,ai_ml_method_z,literature_synthesis_z,pre_task_fit_raw,pre_task_fit_z,pre_ai_ml_z,ai_heavy_category,exposure_claim_role
nlin.CG,nlin,102,50,52,0.0,nlin,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,50,0.0,0.4,0.14,0.04,True,-0.7299690228373251,0.008464188483438294,0.01891893738992081,-0.7124841473653849,-1.4339889817192717,-0.6768616832594692,0.01891893738992081,False,primary_external_adoption
nlin.PS,nlin,732,463,269,0.001366120218579235,nlin,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,463,0.0064794816414686825,0.09935205183585313,0.032397408207343416,0.04103671706263499,True,-0.657686912321182,-1.2445505828997645,-0.6788383345656143,-0.690250859996637,-2.5924883552175837,-1.2236886435761127,-0.6788383345656143,False,primary_external_adoption
nlin.SI,nlin,1039,572,467,0.0,nlin,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,572,0.02097902097902098,0.0979020979020979,0.006993006993006993,0.033216783216783216,True,-0.49593673494240026,-1.2505935767332983,-0.843575125675036,-0.8579560542735776,-2.604486365949276,-1.2293518626406563,-0.843575125675036,False,primary_external_adoption
nucl-ex,nucl-ex,270,176,94,0.0,nucl-ex,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,176,0.056818181818181816,0.4147727272727273,0.022727272727272728,0.056818181818181816,True,-0.09613157645523693,0.07003269609965022,-0.7415450708960585,-0.35180380085589685,-0.37790268121148357,-0.17837504204976243,-0.7415450708960585,False,primary_external_adoption
nucl-th,nucl-th,331,205,126,0.0,nucl-th,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,205,0.04878048780487805,0.2926829268292683,0.1024390243902439,0.08780487804878048,True,-0.18579638594343473,-0.4388027186272047,-0.22464809419193768,0.31273250006303466,-0.3118666045076047,-0.147205144230848,-0.22464809419193768,False,primary_external_adoption
physics.acc-ph,physics,2894,1746,1148,0.0003455425017277125,physics,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,1746,0.026345933562428408,0.31844215349369986,0.041237113402061855,0.033218785796105384,True,-0.4360659320063178,-0.3314456197112377,-0.6215165872099074,-0.8579131072409173,-1.6254246589584729,-0.7672218438910303,-0.6215165872099074,False,primary_external_adoption
physics.ao-ph,physics,2826,1418,1408,0.007077140835102618,physics,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,1418,0.01622002820874471,0.498589562764457,0.16502115655853314,0.04301833568406206,True,-0.5490258646599843,0.4193573251318519,0.18117054908990865,-0.647753347557255,-0.7774218870853873,-0.36695336840348347,0.18117054908990865,False,primary_external_adoption
physics.app-ph,physics,4795,2945,1850,0.0016684045881126173,physics,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,2945,0.020033955857385398,0.20577249575551781,0.04108658743633277,0.048556876061120545,True,-0.5064794458175762,-0.8010205703959257,-0.6224926843973059,-0.5289745946605161,-1.836474610874018,-0.8668402004659288,-0.6224926843973059,False,primary_external_adoption
physics.atm-clus,physics,405,289,116,0.0,physics,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,289,0.020761245674740483,0.21107266435986158,0.02422145328719723,0.04152249134948097,True,-0.49836613585480427,-0.7789309815841028,-0.731855942279985,-0.6798330134066096,-1.9571301308455165,-0.9237911947786889,-0.731855942279985,False,primary_external_adoption
physics.atom-ph,physics,4717,2890,1827,0.0006359974560101759,physics,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,2890,0.035986159169550176,0.17612456747404845,0.006920415224913495,0.041176470588235294,True,-0.328524018734289,-0.9245846668896369,-0.8440458525713636,-0.6872537256699677,-1.9403624112938935,-0.9158766103398832,-0.8440458525713636,False,primary_external_adoption
physics.bio-ph,physics,3225,1916,1309,0.000310077519379845,physics,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,1916,0.020876826722338204,0.24686847599164927,0.07150313152400835,0.0709812108559499,True,-0.497076766964157,-0.6297442633571348,-0.42525426781875497,-0.048065485014667335,-1.1748865153359591,-0.5545619070627076,-0.42525426781875497,False,primary_external_adoption
physics.chem-ph,physics,4800,2950,1850,0.004166666666666667,physics,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,2950,0.02610169491525424,0.32949152542372884,0.10101694915254238,0.062372881355932205,True,-0.4387905457739332,-0.28539499363054954,-0.23386965030729745,-0.23267850088643233,-0.956864040290915,-0.45165242775104997,-0.23386965030729745,False,primary_external_adoption
physics.class-ph,physics,2017,1313,704,0.001487357461576599,physics,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,1313,0.026656511805026657,0.12795125666412796,0.0030464584920030465,0.0715917745620716,True,-0.4326012642909684,-1.1253572662033973,-0.8691668225832945,-0.034971422203905166,-1.592929952698271,-0.7518839146205193,-0.8691668225832945,False,primary_external_adoption
