row_id,topic_cluster
1835,-1
1837,3
1840,-1
1841,-1
1842,-1
1843,-1
1844,-1
1845,-1
1846,-1
1851,3
1852,-1
1855,-1
1857,-1
1861,3
1862,-1
1863,3
1864,-1
1866,-1
1867,3
1871,3
1872,-1
1873,-1
1874,-1
1875,-1
1876,3
1878,3
1879,-1
1880,-1
1881,-1
1883,-1
1884,-1
1885,3
1886,3
1887,-1
1888,-1
1891,3
1892,-1
1893,3
1894,-1
1895,-1
1896,3
1897,-1
1898,-1
1900,-1
1902,-1
1903,3
1904,-1
1905,-1
1907,-1
1908,-1
1909,-1
1912,-1
1913,-1
1919,-1
1920,-1
1921,-1
1922,-1
1923,3
1924,-1
1925,-1
1927,-1
1928,3
1929,3
1931,-1
1938,3
1940,-1
1944,-1
1946,3
1949,-1
1951,-1
1952,3
1953,2
1954,-1
1955,3
1956,-1
1957,-1
1958,-1
1962,-1
1963,-1
1964,3
1965,3
1967,3
1970,-1
1971,-1
1973,3
1974,-1
1975,3
1976,3
1977,-1
1978,3
1979,3
1981,3
1982,3
1983,-1
1984,-1
1986,-1
1987,-1
1988,-1
1989,-1
1991,-1
1992,-1
1993,-1
1994,3
1995,3
1996,3
1997,-1
1999,-1
2002,-1
2003,3
2005,-1
2006,-1
2007,3
2009,-1
2010,3
2011,-1
2012,3
2013,-1
2014,-1
2015,-1
2018,3
2019,-1
2020,3
2021,-1
2023,-1
2024,-1
2025,-1
2027,3
2028,3
2029,-1
2030,-1
2032,3
2033,-1
2035,-1
2036,-1
2037,-1
2038,-1
2039,-1
2040,-1
2044,3
2046,-1
2047,-1
2048,-1
2052,3
2053,-1
2054,-1
2055,-1
2057,-1
